Date,Status,Action,Message,Connection,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:42,INFO,,Custom Smart Links processing started for: Spoke 2,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:42,INFO,debug_content,DEBUG: Final content being sent to spoke: testing and hoping for a duplicate.,Spoke 2,"{""connection_name"":""Spoke 2"",""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:42,INFO,wake_up,Attempting to wake up spoke site,Spoke 2,"{""connection_name"":""Spoke 2"",""url"":""https:\/\/spoke2.wpenginepowered.com""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:42,INFO,wake_up,Spoke site is already awake,Spoke 2,"{""connection_name"":""Spoke 2"",""response_code"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,syndicate_queued,"Post ""1.9.2.9"" queued for syndication to Spoke 2",Spoke 2,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""ZWYTpmj14B4uUqYwMUhhE4O9iPPsbBBi"",""status"":""processing""},""async"":true,""job_id"":""ZWYTpmj14B4uUqYwMUhhE4O9iPPsbBBi""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,update,"Syncing updates for post ""1.9.2.9"" to 2 existing spoke sites",-,"{""spoke_ids"":[1,6]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,debug_content,DEBUG: Original post content: testing and hoping for a duplicate.,-,"{""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,gallery_sync,No gallery images found in post content,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,,Custom Smart Links processing started for: hub20spokesite,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,debug_content,DEBUG: Final content being sent to spoke: testing and hoping for a duplicate.,hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,wake_up,Attempting to wake up spoke site,hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,wake_up,Spoke site is already awake,hub20spokesite,"{""connection_name"":""hub20spokesite"",""response_code"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,wake_up,Spoke site is already awake,hub20spokesite,"{""connection_name"":""hub20spokesite"",""response_code"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,syndicate_queued,"Post ""1.9.2.9"" queued for syndication to hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""Xde9tew6X6TFtw12hbZFQZUcT25HnLWU"",""status"":""processing""},""async"":true,""job_id"":""Xde9tew6X6TFtw12hbZFQZUcT25HnLWU""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,debug_content,DEBUG: Original post content: testing and hoping for a duplicate.,-,"{""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,gallery_sync,No gallery images found in post content,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,,Custom Smart Links processing started for: Spoke 2,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,debug_content,DEBUG: Final content being sent to spoke: testing and hoping for a duplicate.,Spoke 2,"{""connection_name"":""Spoke 2"",""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
